CryptoID,crypto_type,minable,BTC_price_change_1_day,price_btc,USD_price_change_1_day,price_usd,trade_date
17,0,1,0,1,0.005126249,421.56,4/10/2016
17,0,1,0,1,0.00218237,422.48,4/11/2016
17,0,1,0,1,0.006414505,425.19,4/12/2016
17,0,1,0,1,-0.003433759,423.73,4/13/2016
17,0,1,0,1,0.001297996,424.28,4/14/2016
17,0,1,0,1,0.012798152,429.71,4/15/2016
17,0,1,0,1,0.00200135,430.57,4/16/2016
17,0,1,0,1,-0.007362334,427.4,4/17/2016
17,0,1,0,1,0.002784277,428.59,4/18/2016
17,0,1,0,1,0.016145967,435.51,4/19/2016
17,0,1,0,1,0.013501412,441.39,4/20/2016
17,0,1,0,1,0.018192528,449.42,4/21/2016
17,0,1,0,1,-0.008188332,445.74,4/22/2016
17,0,1,0,1,0.01018531,450.28,4/23/2016
17,0,1,0,1,0.01836635,458.55,4/24/2016
17,0,1,0,1,0.006280667,461.43,4/25/2016
17,0,1,0,1,0.01009904,466.09,4/26/2016
17,0,1,0,1,-0.045913879,444.69,4/27/2016
17,0,1,0,1,0.009714633,449.01,4/28/2016
17,0,1,0,1,0.013563172,455.1,4/29/2016
17,0,1,0,1,-0.014897825,448.32,4/30/2016
17,0,1,0,1,0.007940757,451.88,5/1/2016
17,0,1,0,1,-0.015955563,444.67,5/2/2016
17,0,1,0,1,0.012661075,450.3,5/3/2016
17,0,1,0,1,-0.007950255,446.72,5/4/2016
17,0,1,0,1,0.002820559,447.98,5/5/2016
17,0,1,0,1,0.025938658,459.6,5/6/2016
17,0,1,0,1,-0.002306353,458.54,5/7/2016
17,0,1,0,1,2.18E-05,458.55,5/8/2016
17,0,1,0,1,0.004208919,460.48,5/9/2016
17,0,1,0,1,-0.020826095,450.89,5/10/2016
17,0,1,0,1,0.004080818,452.73,5/11/2016
17,0,1,0,1,0.004505997,454.77,5/12/2016
17,0,1,0,1,0.001979022,455.67,5/13/2016
17,0,1,0,1,0,455.67,5/14/2016
17,0,1,0,1,0.004169684,457.57,5/15/2016
17,0,1,0,1,-0.007452412,454.16,5/16/2016
17,0,1,0,1,-0.00083671,453.78,5/17/2016
17,0,1,0,1,0.001851117,454.62,5/18/2016
17,0,1,0,1,-0.034996261,438.71,5/19/2016
17,0,1,0,1,0.009049258,442.68,5/20/2016
17,0,1,0,1,0.001152074,443.19,5/21/2016
17,0,1,0,1,-0.008732146,439.32,5/22/2016
17,0,1,0,1,0.010994264,444.15,5/23/2016
